ireland_abortion;;;;;;;
;title;date;member_gender;member_name;party_name;speech;speechID
1855;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Ms. Olivia Mitchell;Fine Gael;Are these women marching on to destroy the human race?;3238409
1856;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Mrs. Nora Owen;Fine Gael;As if the doctors are standing at Dún Laoghaire holding us back.;3238410
1857;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;M;Dr. Rory O'Hanlon;Fianna Fáil;I ask Deputy Owen to allow her colleague to continue without interruption.;3238411
1858;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Ms. Olivia Mitchell;Fine Gael;Here is another quote: 'A small number of exceptional cases can be exploited to allow a widescale application of abortion'. How can we trust them with anything? While I cannot find the reference, the same applies to new drugs coming on the market. There appears to be a fear that women might get their hands on them and they cause abortion. Instead of banning the drugs we are putting a ban into the Constitution. The name of the Bill is insulting, part of which reads: Protection of Human Life in Pregnancy. Who protects life more than women? Who has done it through the ages since the beginning of time? That type of language is insulting and my colleagues have referred to this insult. To suggest social abortion exists is to completely misunderstand not just women but human nature and, in fact, nature. Everything in a woman's psyche, her makeup, drives and motivates her to guard, protect, nourish and nurture her child inside and outside the womb until the day she dies.;3238412
1859;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Mrs. Monica Barnes;Fine Gael;Yes.;3238413
1860;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Ms. Olivia Mitchell;Fine Gael;It is an inescapable biological imperative. When a woman makes a choice to have an abortion it is because she considers it is the only choice. It is always and in every circumstance an act of desperation. I have heard women try to minimise the enormity of that decision but to them in their hearts it is an act of desperation. To remove the real threat of suicide as a condition for allowing abortion because of the fear of a possible slide towards social abortion is based on a totally false premise, because there simply is no such thing as a social abortion. Currently, an independent woman of means can, even in her desperation, go to London, albeit alone and secretly, but she has some comfort in knowing that she is seeking a service which is, at least, legal in her own country. It may not be available in her [90] own country but at least it is legal. This proposal, if passed, would not stop a single such woman from having an abortion. She will still go secretly and alone but with the added burden of having a taint of criminality and the public voted condemnation of her fellow countrymen and women. We have been accused both by ourselves and others of being hypocritical. Rather than face up to the problem we have been hypocritical in allowing our problems to be exported to Britain. What is happening now is much better than what is being proposed. I do not pretend it is the ideal circumstance but, at least, it offers legislators some room for manoeuvre when further hard cases arise, such as the X and C cases, whereas what is proposed does not leave any. The courts can interpret but the legislator cannot subsequently amend. What we have now is an extraordinary position whereby medical practice may change and so change the circumstances in which abortions are permitted, Ministers may increase or decrease the venues or locations where abortions can take place, any member of the public can challenge the provisions of the Constitution, including any changes resulting from medical or ministerial changes of practice over time, and judges can adjudicate on these. The only group left in the democracy who has no input whatsoever is the Parliament. Does this make any sense? This is a seriously flawed process. I ask Members and anybody listening to think long and hard before voting to tie our hands for ever because we will regret it and many women will live to regret it.;3238414
1861;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Marian McGennis;Fianna Fáil;Even today politicians are running a mile from this debate. That is clear from the number of Deputies who are present and those listed to speak. That is not a criticism of those present but of those who decided they do not wish to participate. Many commentators have described the Twenty-fifth Amendment of the Constitution (Protection of Human Life in Pregnancy) Bill as a relatively conservative proposal. Perhaps they are right. I acknowledge that Deputy Mitchell had the courage to put her position on the record which is more than many have done. As she said, if the Constitution is amended, as outlined in the Bill, it will mean a rolling back of the position in the X case where the Supreme Court ruled that if it was established as a matter of probability that a real and substantial risk could be averted by the termination of a pregnancy, such a termination was lawful. The stated risk to the mother's life in this case arose because she had threatened to commit suicide if she had to continue with the pregnancy. As I understand it, this judgment means that abortion has been lawful in the State since 1992 in certain limited circumstances and if the constitutional amendment is passed that will no longer be possible. People should know that. Those listening to us should know what is being put to them. We are upfront in this Bill and in the announcements made that this will be the effect of the consti[91] tutional amendment. People should know what they are voting for.;3238415
1862;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Mrs. Monica Barnes;Fine Gael;The Deputy is clear and I congratulate her.;3238416
1863;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Marian McGennis;Fianna Fáil;I am putting it on the record so that whoever happens to be listening will know it. The Government has stated that also. After the 1992 Supreme Court decision, three proposals were put to the people and they have been mentioned several times. The issues of travel and information were dealt with by amendments and the people decided in their wisdom that they wanted women to have the right to travel and the right to information. What was termed the 'substantive issue' was rejected by the voters and was ignored by successive Governments. Nine years later, this is the first attempt to address the substantive issue. It may not be to the liking of certain parties in the Oireachtas—;3238417
1864;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Mrs. Nora Owen;Fine Gael;It is aimed at overturning what the people said.;3238418
1865;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Marian McGennis;Fianna Fáil;—and the people may reject it. However, it is wrong to suggest that there was no need to do this. The courts have chastised successive Governments for their refusal to act—;3238419
1866;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Mrs. Nora Owen;Fine Gael;By law.;3238420
1867;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Marian McGennis;Fianna Fáil;—in the wake of the X case. What Deputy Owen says is fine, but nobody chose to act. Deputy McManus made a passionate plea concerning a young woman who was raped, became suicidal and did not want to continue with her pregnancy. Again, Deputy Olivia Mitchell flagged the point in relation to this which is a cause of concern to me. I would like clarification on the C case, which involved a minor in the care of a health board which decided to seek consent for her to travel abroad for a termination. I fully understand the implications of the X case, but I am not sure about those of the C case. The young woman to whom Deputy McManus referred and those involved in the X and C cases have simply become statistics and are seen merely as being among the 6,000 plus women who travel to Britain for abortions each year. Deputy Dukes took the Government to task and stated that its response to this woman and all others who find themselves in such circumstances was to tell them to go to Britain. However, he and other members of his party have failed to indicate what is Fine Gael's response to the young woman in question. If we are to judge from the amendment to the Bill tabled by Fine Gael, that party is saying we should defer a decision for three months until the matter can be considered further in a legal sense. The view of the majority of the Fine Gael Members on the All-Party Committee on the [92] Constitution in relation to the X case was that we should do nothing.;3238421
1868;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Mrs. Nora Owen;Fine Gael;It may well be.;3238422
1869;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Marian McGennis;Fianna Fáil;That was the stated position of the Fine Gael Members on the committee and that is what the Deputy's party did in Government – nothing. If the referendum proceeds, I want to know Fine Gael's position on the X and C cases, particularly the former, because I want to inform myself before I vote. It is clear from the inaction of Fine Gael and all other parties in the House up to now that the prevailing view was leave it alone and maybe it will not cause us trouble.;3238423
1870;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Mrs. Nora Owen;Fine Gael;People still had permission to go to the courts to obtain their rights.;3238424
1871;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Marian McGennis;Fianna Fáil;Yes, but the courts said there was a need to legislate and the Deputy did not do anything.;3238425
1872;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;M;Mr. Séamus Pattison;The Labour Party;There should be no further interruptions. The Deputy should be allowed to proceed.;3238426
1873;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Marian McGennis;Fianna Fáil;The Fine Gael Members on the All-Party Committee on the Constitution said it was best to leave it alone. I do not believe that is the correct route to take. It is not right that a young woman who has been raped or abused, who has become suicidal and whose pregnancy is near full term should be allowed to have an abortion. Does the Deputy believe this should be allowed to happen? That is what we have been left with in the aftermath of the X case. There is no time limit, there are no defined circumstances, there is a very—;3238427
1874;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Mrs. Nora Owen;Fine Gael;So the Deputy would just get rid of it.;3238428
1875;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Marian McGennis;Fianna Fáil;No. I am asking Deputy Owen to tell me what is her position.;3238429
1876;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;M;Mr. Séamus Pattison;The Labour Party;Deputy McGennis should address her remarks through the Chair. There should be no further interruptions.;3238430
1877;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Marian McGennis;Fianna Fáil;I apologise, a Cheann Comhairle. At least a position is outlined in the legislation and this will be put before the people. We have stated that it will have the effect of rolling back the X case. I want Deputy Owen to tell me about Fine Gael's alternative before I vote in the referendum.;3238431
1878;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Mrs. Nora Owen;Fine Gael;So the Deputy is not going to vote with the Government.;3238432
1879;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Marian McGennis;Fianna Fáil;I said that before I vote in the referendum—;3238433
1880;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;M;Mr. Séamus Pattison;The Labour Party;I ask Deputy McGennis not to address questions across the floor to other Members. She should direct her remarks through the Chair.;3238434
1881;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Marian McGennis;Fianna Fáil;I apologise, Ceann Comhairle. Deputy McManus correctly pointed out that the floodgates did not open after 1992. There was a fear that, after the Supreme Court judgment, women would rush to the courts and demand their legal right to an abortion in this country. However, that did not happen and, to my knowledge, there has not been one case where a woman demanded that legal right.;3238435
1882;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Mrs. Nora Owen;Fine Gael;Where would that have happened?;3238436
1883;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Marian McGennis;Fianna Fáil;That is my point.;3238437
1884;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;M;Mr. Séamus Pattison;The Labour Party;I ask Members not to interrupt.;3238438
1885;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le Linn Toirchis a Chosaint), 2001: An Dara C&eacute im. Twenty-fifth Amendment of the Constitution (Protection of Human Life in Preg;25.10.01;F;Marian McGennis;Fianna Fáil;What Deputy McManus did not indicate was the reason no woman has demanded the legal right to a termination or abortion in this country on the basis that she was pregnant and suicidal. That issue was not addressed in any of the consultations in which the all-party committee engaged or in the documents that have been produced. Even given the legal right of a woman to have an abortion in this country since 1992, why have women decided to travel to Britain? The answer has a great deal to do with the society in which we live and it has not been addressed. Most of the case studies of women in crisis pregnancy refer to the fear experienced by these women. Society has not changed dramatically since the 1920s and 1930s when women went away to have babies and returned home alone.;3238439
1886;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le linn Toirchis a Chosaint), 2001: An Dara C&eacute im (At&oacute g&aacute il). Twenty-fifth Amendment of the Constitution (Protecti;08.11.01;M;Mr. Paul Bradford;Fine Gael;Deputy O'Flynn has departed from the script that somebody else has prepared for him to accuse two Dublin Fine Gael Deputies of conducting pro-abortion campaigns. I ask him to withdraw such a ridiculous and incorrect remark. He should stick to the script that somebody else has prepared for him.;3242391
1887;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le linn Toirchis a Chosaint), 2001: An Dara C&eacute im (At&oacute g&aacute il). Twenty-fifth Amendment of the Constitution (Protecti;08.11.01;M;Mr. Séamus Pattison;The Labour Party;Deputy Barnes has 18 minutes remaining.;3242392
1888;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le linn Toirchis a Chosaint), 2001: An Dara C&eacute im (At&oacute g&aacute il). Twenty-fifth Amendment of the Constitution (Protecti;08.11.01;F;Mrs. Monica Barnes;Fine Gael;In the two minutes I had the previous day I referred to the fact that a lot of revisionism was taking place, that the 1983 debate and referendum had become clouded in myth and mythology and that we needed to remind ourselves of the circumstances that forced these Houses into such a divisive referendum and of the attempts made on this side of the House, particularly by the then leader of the Fine Gael Party, Dr. Garrett FitzGerald, the then Attorney General, Peter Sutherland, and the then Minister for Justice, Deputy Noonan, to urge the people to reject those dangerous words which, if inserted in the Constitution in 1983, could lead exactly to the opposite of what the pressure group then, SPUC, was looking for and which could, and did, put women at risk. Although, sadly, it took almost ten years for that to become a reality, we all lived with the shame and embarrassment of it. Because of that, another referendum was held in 1992. During that nine year period, through court case after court case taken by SPUC, women in Ireland were denied the right to information. Students and other groups were taken to court repeatedly. Copies of Cosmopolitan appeared month after month with a blank page showing the censorship which went on in this country in regard to the names and addresses of legal clinics and abortion centres in Britain. Women, in particular, lived with that. There was an even greater deprivation of the rights of women and citizens because during that period, the right of women to travel was questioned and denied. In the 1992 referendum, we dealt with the substantive issue, the right to travel and the right to information. This came about because of a horrific and tragic case, the X case, as a result of which the interpretation people feared in 1983 came to pass. A 14 year old girl who had been raped was pregnant and suicidal and her parents were denied the right to travel to a legal abortion clinic in Britain to have an abortion carried out. Despite our embarrassment and [1103] shame, the compassion of the people in identifying with the suffering and trauma that young girl and her parents were going through ensured we would get an outcome that would relieve such a terrible situation and that the State would pay the costs of the appeal to the Supreme Court. We hit international headlines. I and, I am sure, Deputy Shatter and other colleagues in this House received telephone calls and queries from all over the world asking us if we were even members of the European Community as it was then known. As a result of that, we had a second debate and attempt to quickly and naturally restore the right to travel and information which, thankfully, was passed by a majority of voters. However, we also had and still have what is known as the 'substantive issue.' That was and is an attempt to remove the grounds under which in 1992 the Supreme Court allowed two parents and their young girl travel to Britain to have a legal abortion, as happened again in 1995 in another distressing case involving a young girl. This is because we could not and would not provide the necessary facilities here. The Supreme Court based its judgments on the threat of self-destruction or suicide. In 1992, the then Minister for Justice, Equality and Law Reform, Mr. Flynn, in introducing the Second Stage debate on the Twelfth Amendment of the Constitution Bill, 1992, dealing with the right to travel and information, said that should it transpire that the people decided not to adopt the twelfth amendment, the Government had decided to introduce legislation to regulate the position obtaining as a result of the X decision. He continued by saying that if that amendment was defeated – and he did not believe that would happen which is a case of a political projection being wrong – it was the Government's firm and considered view that the only practicable alternative was to legislate on the basis of the X case. Mr. Flynn said that this was not meant to be a threat to anybody or to put pressure on them to vote in a particular way in the referendum. Not alone did Mr. Flynn promise that the only option if the amendment was defeated would be legislation on the basis of the X case, he used that assertion to urge people to vote for the removal of the threat of self-destruction. The people did not agree with that, they did not support it and they did not vote for it. Why, in 2001, are we facing a third attempt to put words into the Constitution that will clearly be challenged, and interpreted in ways that will not satisfy the same pressure group who pushed for it in 1983, 1992 and now in 2001? Members may be aware of the famous 'Rocky Horror Show' which has the theme song titled, 'Let's do the time warp again'. That is exactly what we are doing. We are doing the time warp again. In 1983, a small, intolerant pressure group decided that it did not trust legislators. In 1992, because of the Supreme Court interpretation, the group decided that it did not trust the courts or [1104] the judges. Now in 2001, it does not trust the psychologists or the psychiatrists. However, every year and every decade, they do not trust women. During these debates women have been disembodied, divided and dehumanised. It gives me and other colleagues in this Chamber no satisfaction to go through this again because underlying the issue is the belief of some men that women have to be controlled with regard to a murderous intent towards their unborn. That is basic, fundamental, fundamentalist and highly insulting. During the ten years since the last debate, thousands of women have travelled to Britain for abortions. This required desperation, silence, shame and the extraordinary, practical need to raise enough money to pay for the journey and the treatment. It was usually done in a solitary, shamed way. As Deputy McManus has said, special medicines and antibiotics are given to Irish women because, from the medical experience of people working in the British clinics, it is realised that the majority of those women will not seek treatment, either psychological or medical, when they come home. There is also a more dangerous experience. Because of the difficulties and because of the lack of economic independence on the part of many of these women, the termination of pregnancy is delayed, giving rise to huge problems, including medical, emotional and psychological problems. We in Ireland are not prepared to take that on board much less address it. Added to the present debate is another facile slogan. The slogan in 1983 was 'abortion on demand – a woman's right to choose.' The underlying meaning of that was if a woman had any right or opportunity to choose, she would choose to abort her child. I want people to take on the meaning of that in the experience of women, not just in Ireland, but worldwide in the experience of refugees and millions of women desperately trying to nourish and keep their children and their lives together. We now have the slogan 'social abortion.' I will not spend time on this subject because many of my colleagues – including, I am glad to say, male colleagues – have been appalled and outraged that we should reduce such a fundamentally difficult and desperate situation to a phrase such as 'social abortion.' However, the phrase gives an indication of the mind set of those who view women at that level. With regard to all areas of equality, citizenship, and rights that touch on the status of women, we have much to worry about. The phrase 'social abortion' is an indication of the deep, traditional, subversive, suspicious situation women must still deal with in Ireland. I pay tribute to the many male colleagues in this and in past debates who have also felt offended and rejected by the language and attitude to women. In 2001, more than ever, this feeling is shared by the majority of voters, both men and women. If this ludicrous legislation is put forward in a referendum to the [1105] people, they will reject it, and they deserve the right to do so if this matter goes that far. In 1992, when the details of the X case were revealed in Ireland and worldwide, there was a unanimous reaction. People were horrified at how it could have happened. A child was not allowed to have a legal abortion in Britain. There was shock, shame, embarrassment and above all, compassion, which I stress. We have compassion. We are family-centred. We care about mothers and children. Why are we separating them in this divisive way now when on other levels they are almost an icon in our society? The Irish mammy could be canonised any day. Why is there a split mindset with regard to women as mothers? At least, let us hope this debate will engender discussion, philosophical and otherwise, about this difficult and divisive situation in which women find themselves. It is the old story of Eve and the Virgin Mary, but that debate is for another day and I do not know if we would be allowed to have it in this Chamber. When Deputy Noonan, on behalf of the Fine Gael Party, addressed a series of questions to the Taoiseach, he was accused of time wasting as if it was a political ploy. However, the questions were very important and we learned much from the replies which revealed not just flaws in the proposed legislation but the most flawed thinking we have ever encountered in this House. I have a great regard for this Chamber and I consider it a privilege to be here. One of the greatest pleasures – soon to come to an end – I have had is to be a legislator. It is a privilege that is not enjoyed by many and it is one we should not lightly relinquish. We receive a mandate from the people to legislate on their behalf and they trust us to do so, but that is about to be taken away. It worries me not just with regard to this debate but with regard to the future power, authority and autonomy of legislators. It is being suggested that this flawed legislation will be put to the electorate, but how can voters know what the impact or import of the individual sections will be? If they vote in favour of the referendum, that legislation will stand as part of the Constitution and, thus, we as legislators will be powerless to change it. There is not any legislation in which I have been involved in debating that did not require amendments. In some cases, once legislation has been enacted, we only realise after it has been implemented that it requires amendment because we overlooked certain dimensions. This legislation is unprecedented, unbelievable and bizarre. We are tying ourselves into a referendum on legislation which is flawed. As legislators we often realise that legislation is flawed after it has been enacted, yet in this case we will not be able to do anything to rectify it. As a Deputy serving my last term in the House, I am worried by the enormity of that situation. I will not refer to the four Independent Deputies who have brought this upon us because I do not think they would understand the import of it. However, [1106] I am asking both Government parties and, in particular, the Minister for Health and Children, to think again. Do not plunge us into what we went through in 1983, 1992 and 1995. It is too much and does not reflect well on any of us.;3242393
1889;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le linn Toirchis a Chosaint), 2001: An Dara C&eacute im (At&oacute g&aacute il). Twenty-fifth Amendment of the Constitution (Protecti;08.11.01;M;Mr. Noel O'Flynn;Fianna Fáil;May I continue with my speech? Acting Chairman: Yes, as the point of order has been made.;3242394
1890;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le linn Toirchis a Chosaint), 2001: An Dara C&eacute im (At&oacute g&aacute il). Twenty-fifth Amendment of the Constitution (Protecti;08.11.01;M;Mr. Noel O'Flynn;Fianna Fáil;I assure the House that nobody prepared this speech for me, as I have been working on it for a long time.;3242395
1891;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le linn Toirchis a Chosaint), 2001: An Dara C&eacute im (At&oacute g&aacute il). Twenty-fifth Amendment of the Constitution (Protecti;08.11.01;M;Mr. Paul Bradford;Fine Gael;I ask the Chair to ask Deputy O'Flynn to withdraw the remark. Acting Chairman: Deputy O'Flynn should be allowed to continue.;3242396
1892;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le linn Toirchis a Chosaint), 2001: An Dara C&eacute im (At&oacute g&aacute il). Twenty-fifth Amendment of the Constitution (Protecti;08.11.01;M;Mr. Séamus Kirk;Fianna Fáil;I am glad to have the opportunity to contribute to the debate. This is the first opportunity for a legislative response to this most difficult and emotive of issues since the X case in 1992. Most Members agree the legislative position has been unsatisfactory since 1992 and getting to the stage where the House could debate legislation on the matter has been a long and tortuous path. The issue has been extensively discussed and considered by the all-party committee on the Constitution. The committee took the advised road of inviting detailed submissions from interested parties. I was a member of the committee and there was an intense interest in the subject. The number of submissions meant that the committee secretariat was very busy for a long period during the hearings. The decision to provide concerned members of the public and the legal and medical professions with an opportunity to make individual submissions to the committee was very good. It took a long time to get through all of them but at the end of the day the subject was so serious that it would have been very wrong for a committee of the House to short circuit the debate and not provide people with their first opportunity to make their case to Oireachtas Members. As one who espouses the view that we should have a civilised society where there is clear and adequate protection for the unborn, I am pleased the Government has decided to introduce the legislation and, ultimately, to afford the electorate the opportunity to adjudicate on the subject. There were emotive debates on abortion in 1983 and 1992 and this is probably the final opportunity for the necessary constitutional amendment to be agreed by the electorate. The electorate wants the opportunity to air its collective voice. The Government made a wise decision to produce legislation and, by so doing, give the people the benefit of the debate in the House before the referendum is put to them. I hope this decision will be vindicated. This legislation seeks to protect best medical practice in this area. It also seeks to provide for a prohibition on abortion and to underpin that position by way of a constitutional amendment. In any man's language, this is a laudable objective on the part of the Minister. Those who predict that the referendum will be rejected by the electorate will have to wait and see. There is a diversity of views among Members on this issue and one can appreciate the depth of emotion which reflects the position outside this House. However, in the final analysis we are talking about the protection of those in the most vulnerable and least advantaged position to protect their own lives, namely, the unborn. We are balancing this objective with ensuring that the best medical practice and treatment can be provided for pregnant women. The underlying and core objective of this legislation is to get that balance right. I am not sure if he interpreted it as a danger, [1135] but Deputy Joe Higgins referred to the issue of social abortion. Few, if any, Members would wish a situation to develop in which abortion was freely available and where the phrase 'social abortion' became common currency in the political arena. That would be undesirable and would quickly lead to a breakdown and lowering of standards in what is a reasonably civilised society. Having studied the hearings held by the constitutional committee and listened to the debate in the House, I am satisfied the Government has taken the right decision by bringing forward this legislation and underpinning it by way of a constitutional amendment to be endorsed by the people. It strikes a balance on this issue, while ensuring that this remains a civilised society and a beacon for other communities across Europe. If we are to give a lead in this direction we should not have to apologise to anyone for the stance we take. I support this legislation and hope it is passed. I also hope the referendum will be endorsed by the people.;3242397
1893;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le linn Toirchis a Chosaint), 2001: An Dara C&eacute im (At&oacute g&aacute il). Twenty-fifth Amendment of the Constitution (Protecti;08.11.01;M;Mr. Noel O'Flynn;Fianna Fáil;Deputy Bradford's party leader, [1127] who introduced the abortion information Bill, is doing his best to fudge the question in a smoke screen of questions.;3242398
1894;An Bille um an gC&uacute igi&uacute Leas&uacute is Fiche ar an mBunreacht (Beatha Dhaonna le linn Toirchis a Chosaint), 2001: An Dara C&eacute im (At&oacute g&aacute il). Twenty-fifth Amendment of the Constitution (Protecti;08.11.01;M;Mr. Paul Bradford;Fine Gael;The Taoiseach has not answered the questions.;3242399
